Request Text,Response Policy
"Create a policy where user dev-team@example.com and user app-admin@example.com both have the Compute Storageadmin role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/compute.storageAdmin"""",
      """"members"""": [
        """"user:dev-team@example.com"""",
        """"user:app-admin@example.com"""",
        """"service_account:job-manager@data-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy for {member_type1} {member1} to have {role_name1} and {member_type2} {member2} to have {role_name2}. The first role should expire on {expiration_date1}, and the second on {expiration_date2}","{
  """"bindings"""": [
    {
      """"role"""": """"roles/aiplatform.trainer"""",
      """"members"""": [
        """"group:network-team@example.com""""
      ]
    },
    {
      """"role"""": """"roles/owner"""",
      """"members"""": [
        """"group:network-team@example.com""""
      ]
    },
    {
      """"role"""": """"roles/logging.logWriter"""",
      """"members"""": [
        """"group:network-team@example.com""""
      ]
    }
  ]
}"
"Give service account admin-sa@gke-project.iam.gserviceaccount.com the Monitoring Viewer role (roles/monitoring.viewer) so they can perform Monitoring Viewer operations","{
  """"bindings"""": [
    {
      """"role"""": """"roles/monitoring.viewer"""",
      """"members"""": [
        """"service_account:admin-sa@gke-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Give service account data-sa@ai-project.iam.gserviceaccount.com the Container Viewer role (roles/container.viewer) so they can perform Container Viewer operations","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.viewer"""",
      """"members"""": [
        """"service_account:data-sa@ai-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where {member_type1} {member1} and {member_type2} {member2} both have the Secretmanager Secretaccessor role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/secretmanager.secretAccessor"""",
      """"members"""": [
        """"group:ops-team@cloud.google.com""""
      ]
    },
    {
      """"role"""": """"roles/cloudsql.client"""",
      """"members"""": [
        """"group:ops-team@cloud.google.com""""
      ]
    },
    {
      """"role"""": """"roles/container.developer"""",
      """"members"""": [
        """"group:ops-team@cloud.google.com""""
      ]
    }
  ]
}"
"Give service account data-agent@monitoring-project.iam.gserviceaccount.com the Dataflow Developer role (roles/dataflow.developer) so they can develop Dataflow jobs","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.developer"""",
      """"members"""": [
        """"service_account:data-agent@monitoring-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Our security team needs a policy that gives service account keyring-admin@data-project.iam.gserviceaccount.com the following permissions: roles/logging.viewer","{
  """"bindings"""": [
    {
      """"role"""": """"roles/logging.viewer"""",
      """"members"""": [
        """"service_account:keyring-admin@data-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-11-12"""",
        """"expression"""": """"request.time < timestamp('2026-11-13T00:00:00.000Z')""""
      }
    }
  ]
}"
"I need a policy for service account data-service@my-project.iam.gserviceaccount.com to have Cloudkms Cryptokeyencrypterdecrypter and user security-team@example.com to have Custom Role. The first role should expire on {expiration_date1}, and the second on {expiration_date2}","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudkms.cryptoKeyEncrypterDecrypter"""",
      """"members"""": [
        """"service_account:data-service@my-project.iam.gserviceaccount.com"""",
        """"user:security-team@example.com""""
      ]
    }
  ]
}"
"Our machine learning team, represented by group ops-team@cloud.google.com, needs {role_name1} and {role_name2} roles across all projects within the organization","{
  """"bindings"""": [
    {
      """"role"""": """"roles/aiplatform.user"""",
      """"members"""": [
        """"group:ops-team@cloud.google.com"""",
        """"service_account:app-service@prod-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2028-01-20"""",
        """"expression"""": """"request.time < timestamp('2028-01-21T00:00:00.000Z')""""
      }
    }
  ]
}"
"Grant service account keyring-operator@ai-project.iam.gserviceaccount.com the Monitoring Viewer role, and also give user security-team@my-org.com the Custom Role role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/monitoring.viewer"""",
      """"members"""": [
        """"service_account:keyring-operator@ai-project.iam.gserviceaccount.com"""",
        """"user:security-team@my-org.com""""
      ]
    }
  ]
}"
"Create a policy where service account cloud-service@data-project.iam.gserviceaccount.com has the Container Developer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.developer"""",
      """"members"""": [
        """"service_account:cloud-service@data-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Our monitoring team needs a policy that gives user ops-team@my-org.com the following permissions: roles/cloudsql.viewer","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudsql.viewer"""",
      """"members"""": [
        """"user:ops-team@my-org.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-09-28"""",
        """"expression"""": """"request.time < timestamp('2026-09-29T00:00:00.000Z')""""
      }
    }
  ]
}"
"Create a policy where service account monitoring-sa@analytics-project.iam.gserviceaccount.com has the Bigquery Dataeditor role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.dataEditor"""",
      """"members"""": [
        """"service_account:monitoring-sa@analytics-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Give group ops-team@example.com the Cloudfunctions Viewer role (roles/cloudfunctions.viewer) so they can perform Cloudfunctions Viewer operations","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.viewer"""",
      """"members"""": [
        """"group:ops-team@example.com""""
      ]
    }
  ]
}"
"The service account cloud-service@gke-project.iam.gserviceaccount.com needs Storage Objectcreator to upload files to storage buckets. This access should expire on 2026-11-08","{
  """"bindings"""": [
    {
      """"role"""": """"roles/storage.objectCreator"""",
      """"members"""": [
        """"service_account:cloud-service@gke-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-11-08"""",
        """"expression"""": """"request.time < timestamp('2026-11-09T00:00:00.000Z')""""
      }
    }
  ]
}"
"The service account admin-sa@my-project.iam.gserviceaccount.com needs Dataflow Admin to perform Dataflow Admin operations. This access should expire on 2025-07-22","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.admin"""",
      """"members"""": [
        """"service_account:admin-sa@my-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2025-07-22"""",
        """"expression"""": """"request.time < timestamp('2025-07-23T00:00:00.000Z')""""
      }
    }
  ]
}"
"I need a policy for {member_type1} {member1} to have {role_name1} and {member_type2} {member2} to have {role_name2}. The first role should expire on {expiration_date1}, and the second on {expiration_date2}","{
  """"bindings"""": [
    {
      """"role"""": """"roles/resourcemanager.folderAdmin"""",
      """"members"""": [
        """"group:ops-team@my-org.com""""
      ]
    },
    {
      """"role"""": """"roles/iam.securityAdmin"""",
      """"members"""": [
        """"group:ops-team@my-org.com""""
      ]
    }
  ]
}"
"Our analytics team needs a policy that gives user app-dev@cloud.google.com the following permissions: roles/bigquery.admin","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.admin"""",
      """"members"""": [
        """"user:app-dev@cloud.google.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2027-09-24"""",
        """"expression"""": """"request.time < timestamp('2027-09-25T00:00:00.000Z')""""
      }
    }
  ]
}"
