Request Text,Response Policy
"Grant service account bucket-manager@dev-project.iam.gserviceaccount.com the Cloudfunctions Developer role for project gke-project, expiring on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.developer"""",
      """"members"""": [
        """"service_account:bucket-manager@dev-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy for service account app-service@analytics-project.iam.gserviceaccount.com to have Viewer and service account bucket-admin@data-project.iam.gserviceaccount.com to have Custom Role. The first role should expire on 2025-12-31, and the second on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/viewer"""",
      """"members"""": [
        """"service_account:app-service@analytics-project.iam.gserviceaccount.com"""",
        """"service_account:bucket-admin@data-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy that allows group ops-team@cloud.google.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/editor"""",
      """"members"""": [
        """"group:ops-team@cloud.google.com""""
      ]
    },
    {
      """"role"""": """"roles/logging.admin"""",
      """"members"""": [
        """"group:ops-team@cloud.google.com""""
      ]
    }
  ]
}"
"Generate a policy binding that will grant user (instance-admin@my-org.com) with the Bigquery Dataeditor role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.dataEditor"""",
      """"members"""": [
        """"user:instance-admin@my-org.com""""
      ]
    }
  ]
}"
"The user keyring-admin@example.com requires access to Storage Object Viewer, Storage Object Viewer, and Storage Object Viewer. This access should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.dataEditor"""",
      """"members"""": [
        """"user:keyring-admin@example.com"""",
        """"user:ml-team@example.com"""",
        """"service_account:security-sa@monitoring-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy that allows user security-team@my-org.com to perform Run Viewer operations in the project prod-project","{
  """"bindings"""": [
    {
      """"role"""": """"roles/run.viewer"""",
      """"members"""": [
        """"user:security-team@my-org.com""""
      ]
    }
  ]
}"
"For our AI testing platform, user monitoring-team@cloud.google.com needs Logging Admin, and service account cluster-manager@analytics-project.iam.gserviceaccount.com needs Custom Role. Both should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/logging.admin"""",
      """"members"""": [
        """"user:monitoring-team@cloud.google.com"""",
        """"service_account:cluster-manager@analytics-project.iam.gserviceaccount.com"""",
        """"user:ops-user@cloud.google.com""""
      ]
    }
  ]
}"
"The service account admin-sa@analytics-project.iam.gserviceaccount.com requires access to Storage Object Viewer, Storage Object Viewer, and Storage Object Viewer. This access should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/run.invoker"""",
      """"members"""": [
        """"service_account:admin-sa@analytics-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/compute.firewallAdmin"""",
      """"members"""": [
        """"service_account:admin-sa@analytics-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy for user user@example.com to have Storage Object Viewer and user user@example.com to have Storage Object Viewer. The first role should expire on 2025-12-31, and the second on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/secretmanager.viewer"""",
      """"members"""": [
        """"group:data-team@cloud.google.com""""
      ]
    },
    {
      """"role"""": """"roles/iam.securityReviewer"""",
      """"members"""": [
        """"group:data-team@cloud.google.com""""
      ]
    },
    {
      """"role"""": """"roles/run.invoker"""",
      """"members"""": [
        """"group:data-team@cloud.google.com""""
      ]
    }
  ]
}"
"Give service account cloud-service@my-project.iam.gserviceaccount.com the Cloudsql Client role (roles/cloudsql.client) so they can perform Cloudsql Client operations","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudsql.client"""",
      """"members"""": [
        """"service_account:cloud-service@my-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy that allows service account keyring-admin@gke-project.iam.gserviceaccount.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.admin"""",
      """"members"""": [
        """"service_account:keyring-admin@gke-project.iam.gserviceaccount.com"""",
        """"service_account:dev-sa@analytics-project.iam.gserviceaccount.com"""",
        """"service_account:monitoring-sa@monitoring-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where user user@example.com and user user@example.com both have the Bigquery Dataviewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.dataViewer"""",
      """"members"""": [
        """"service_account:app-agent@analytics-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/appengine.appAdmin"""",
      """"members"""": [
        """"service_account:app-agent@analytics-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
